distribution,MC,B,n,z,x_F,mu,gamma,frac_theta,frac_gamma,theta_hat,gamma_hat,s_hat,mean_rt,coverage_theta_t,mean_cl_theta_t,mean_cu_theta_t,coverage_gamma_t,mean_cl_gamma_t,mean_cu_gamma_t,coverage_s_t,mean_cl_s_t,mean_cu_s_t,mean_dL,coverage_theta_d,mean_cl_theta_d,mean_cu_theta_d,coverage_gamma_d,mean_cl_gamma_d,mean_cu_gamma_d,coverage_s_d,mean_cl_s_d,mean_cu_s_d
ARC,1000,199,15000,0.2,45,20,-0.3,0.029999999999999985,0.05,0.769140311804009,-0.31173188459306833,0.0033370793427066055,1.0,0.578,0.7291007795100222,0.8144995545657016,0.894,-0.36279379725550387,-0.25280132497729957,0.787,0.002521585710337253,0.0040892086343500885,2.0,0.686,0.7326412026726058,0.8193422048997773,0.887,-0.36066916586156916,-0.2475774231239427,0.931,0.002172724919768565,0.004177389592040666
ARC,1000,199,15000,0.2,45,20,-0.3,0.030999999999999986,0.05,0.7679461206896552,-0.31124287640976545,0.0033559315004083297,1.0,0.604,0.7287899784482759,0.8225467672413793,0.905,-0.36211452598227595,-0.2518620755054728,0.797,0.002406840105181594,0.004097419661374308,2.003,0.701,0.7319058189655172,0.8261840517241379,0.895,-0.3602494241678176,-0.24705614982600724,0.943,0.0020991938060838954,0.004192807777592248
ARC,1000,199,15000,0.2,45,20,-0.3,0.03199999999999998,0.05,0.7665010438413361,-0.31005304239549436,0.0033820974041300833,1.0,0.65,0.7281162839248434,0.8361863256784969,0.915,-0.36115640886915024,-0.25145792260162064,0.809,0.002254019650255979,0.0041172109403658065,2.001,0.715,0.731245720250522,0.8377779749478079,0.907,-0.35927373760307957,-0.2453033901064481,0.954,0.0019902629241329937,0.004215067515493496
ARC,1000,199,15000,0.2,45,20,-0.3,0.03299999999999998,0.05,0.7653623481781376,-0.3114196468543489,0.003387602998048509,1.0,0.612,0.7270564777327936,0.8293829959514168,0.907,-0.3624310963597276,-0.2522268771801681,0.815,0.0023246633078603516,0.004121937100720271,2.009,0.694,0.7303655870445345,0.832410020242915,0.905,-0.3604115499982945,-0.24752891585749826,0.948,0.0020380376484037807,0.004219957844621932
ARC,1000,199,15000,0.2,45,20,-0.3,0.03399999999999998,0.05,0.7651218074656189,-0.30969693858128594,0.0033989432259575853,1.0,0.686,0.7280470530451867,0.8437573673870333,0.912,-0.36079541345441296,-0.250759348651674,0.824,0.002130676344966666,0.00411771955248765,2.006,0.725,0.730887819253438,0.8439036345776032,0.91,-0.35899640017958273,-0.2448967564161105,0.944,0.0019372764311630952,0.004222068797919411
ARC,1000,199,15000,0.2,45,20,-0.3,0.03499999999999998,0.05,0.763074427480916,-0.3117553943397012,0.0034382125627248406,1.0,0.765,0.7267855916030533,0.8632088740458016,0.912,-0.3630268853614101,-0.2536267276696909,0.875,0.001896287171345509,0.004148306270905295,2.008,0.817,0.7297946564885497,0.8632853053435114,0.91,-0.3610609063100982,-0.24783899740680004,0.958,0.0017399434155114285,0.004251070217447151
ARC,1000,199,15000,0.2,45,20,-0.3,0.035999999999999976,0.05,0.7620575139146567,-0.31012921388115056,0.0034556566454323266,1.0,0.717,0.7263642857142858,0.8555537105751391,0.909,-0.36120533260110677,-0.25175981694411587,0.836,0.0019876279924473813,0.0041591770867665905,2.006,0.749,0.7291777365491651,0.8559180890538033,0.909,-0.3592608971083783,-0.2457405920423451,0.944,0.0018173217565255787,0.004270554604219309
ARC,1000,199,15000,0.2,45,20,-0.3,0.03699999999999998,0.05,0.7617310469314079,-0.3110592112987831,0.003453979812756972,1.0,0.833,0.7265969314079423,0.8811851985559567,0.915,-0.36234535367103066,-0.25187760698939876,0.893,0.00164110592882367,0.004148455638870971,2.014,0.845,0.729731046931408,0.881100631768953,0.914,-0.36059201466154384,-0.2462798579733204,0.96,0.0015263336507776466,0.004251615581061734
ARC,1000,199,15000,0.2,45,20,-0.3,0.03799999999999998,0.05,0.760543057996485,-0.31137929862325664,0.0034636094606970607,1.0,0.895,0.7262646748681898,0.9009997363796133,0.913,-0.36250127375280844,-0.2529429953235104,0.928,0.0013493481333529682,0.004146473906375471,2.029,0.9,0.7289967486818981,0.8980942882249561,0.913,-0.36083061092977237,-0.24849204213376022,0.967,0.0013259114047550194,0.004252803691907816
ARC,1000,199,15000,0.2,45,20,-0.3,0.03899999999999998,0.05,0.7585051369863013,-0.3112071534812277,0.003511371755727103,1.0,0.861,0.7247683219178083,0.8901610445205479,0.922,-0.36234120400995745,-0.2525244323294249,0.908,0.0015167794639478881,0.004186737039889833,2.016,0.862,0.7274256849315069,0.888355993150685,0.912,-0.3604173825222731,-0.24746457288092485,0.964,0.0014754546024135654,0.004309299934570962
ARC,1000,199,15000,0.2,45,20,-0.3,0.03999999999999997,0.05,0.7571736227045075,-0.3087176351576023,0.003507658166145455,1.0,0.924,0.7231010851419032,0.9130895659432388,0.916,-0.3597361320230134,-0.2502977422532361,0.929,0.0011780099686381283,0.00418603005401443,2.073,0.923,0.7257808013355593,0.9117103505843072,0.919,-0.35816028955287016,-0.2442422407555047,0.96,0.0011713655672023874,0.004300335169343549
ARC,1000,199,15000,0.2,45,20,-0.3,0.040999999999999974,0.05,0.7552003257328991,-0.3117673896585245,0.0035423634099193565,1.0,0.958,0.7218267915309446,0.9343293973941368,0.915,-0.3628593182071117,-0.2531935691506089,0.948,0.0008751219231998017,0.0042080935114083605,2.097,0.956,0.724592671009772,0.9303580618892509,0.91,-0.3612023580232237,-0.2484620325636706,0.966,0.0009050028034655915,0.004317772426977087
ARC,1000,199,15000,0.2,45,20,-0.3,0.041999999999999975,0.05,0.7549348171701112,-0.31003493640057006,0.0035531033915470033,1.0,0.936,0.7219684419713832,0.925010492845787,0.909,-0.3612830485928831,-0.2512252341917889,0.944,0.0009976055137581534,0.004216471075496004,2.079,0.943,0.724712559618442,0.9225865659777425,0.899,-0.3597008674196686,-0.24683021553281512,0.966,0.0010250302098978965,0.004328437302489285
ARC,1000,199,15000,0.2,45,20,-0.3,0.042999999999999976,0.05,0.7506677018633541,-0.31012043072332973,0.003611673752037978,1.0,0.951,0.7164582298136646,0.9390744565217392,0.92,-0.3613308139420869,-0.25188160066749127,0.949,0.0008049965693566513,0.004282245682421676,2.179,0.959,0.719353649068323,0.9385817546583851,0.908,-0.3589254645645415,-0.24654567680026745,0.97,0.0008076533232421514,0.0043938850766633624
ARC,1000,199,15000,0.2,45,20,-0.3,0.04399999999999998,0.05,0.7474248861911987,-0.31189830915510286,0.0036557179670970207,1.0,0.955,0.7129053869499241,0.9596172230652504,0.902,-0.3629049675856852,-0.2534308516399119,0.95,0.0004883763406004416,0.004329284798052435,2.252,0.961,0.7153245827010623,0.9566927162367224,0.9,-0.36024799929194207,-0.24866928498615115,0.959,0.0005227971095315931,0.004434212796230011
ARC,1000,199,15000,0.2,45,20,-0.3,0.04499999999999997,0.05,0.741853115727003,-0.3104516564830865,0.0037301800685737288,1.0,0.945,0.7048828635014837,0.9655295994065282,0.908,-0.36188629469147415,-0.25283734477652253,0.934,0.0003826261961244835,0.004433251668389157,2.414,0.944,0.7073819732937686,0.9645522255192878,0.893,-0.3594206568626215,-0.24801281168269826,0.943,0.000384214256227746,0.004527955530896989
ARC,1000,199,15000,0.2,45,20,-0.3,0.04599999999999997,0.05,0.7426139332365747,-0.30931975293208713,0.0037047015974325656,1.001,0.956,0.7068779390420901,0.9653597242380261,0.925,-0.3605106129763059,-0.2507283964381649,0.951,0.00038402788791278974,0.00438629456946506,2.359,0.948,0.7092325108853411,0.9638484760522497,0.915,-0.3576148140793081,-0.24599948432723334,0.955,0.00041989784107547643,0.004486284752570553
ARC,1000,199,15000,0.2,45,20,-0.3,0.04699999999999997,0.05,0.7374403409090908,-0.3107602337491743,0.003792336640278357,1.001,0.959,0.700871590909091,0.9725066761363635,0.928,-0.3619797276567832,-0.2519317649263157,0.954,0.0002560647461605793,0.004484995930667117,2.461,0.957,0.70307890625,0.9714848011363636,0.911,-0.35929068112264734,-0.2474657730926501,0.955,0.0002777747241483259,0.004576126013011932
ARC,1000,199,15000,0.2,45,20,-0.3,0.047999999999999966,0.05,0.7232322670375521,-0.309471226509552,0.004000188839357067,1.005,0.914,0.6783451321279554,0.962753407510431,0.92,-0.36081251552144883,-0.2515091910442824,0.911,0.0003797211508661158,0.0047974550050892415,2.866,0.913,0.6805513908205841,0.9620568150208624,0.91,-0.35766053391854347,-0.24659857590502304,0.918,0.00037985469210714584,0.004882540149283999
ARC,1000,199,15000,0.2,45,20,-0.3,0.04899999999999997,0.05,0.7271198910081743,-0.3099826644613306,0.0039372785297466465,1.001,0.929,0.6852860354223432,0.966458310626703,0.929,-0.36126496556057175,-0.25148092473188943,0.927,0.0003191622448582686,0.004696810602526341,2.72,0.923,0.6874301771117166,0.9634064032697547,0.915,-0.3580554412367582,-0.24750886855763884,0.924,0.0003700787897518797,0.00477827054290843
ARC,1000,199,15000,0.2,45,20,-0.3,0.04999999999999997,0.05,0.714675567423231,-0.31170713821970697,0.004130920111514645,1.006,0.891,0.6664175567423231,0.9562771695594126,0.903,-0.3632748502803215,-0.2533088137861667,0.898,0.000478010889567439,0.004971959601187235,3.065,0.892,0.6682427903871828,0.9563598130841121,0.898,-0.3597400470630044,-0.24983614443312058,0.905,0.00048137288937806624,0.005043845079930235
ARC,1000,199,15000,0.2,45,20,-0.3,0.05099999999999997,0.05,0.7041819371727749,-0.3111176354660362,0.004268435517908818,1.007,0.871,0.6522248691099476,0.9547121727748692,0.905,-0.3624283977390277,-0.2526455756691951,0.883,0.0004604890183653526,0.0051425614079705665,3.363,0.871,0.6535063481675393,0.9533156413612566,0.879,-0.3587833204566497,-0.2492860641715618,0.886,0.00048251731488257874,0.0052005285904690645
ARC,1000,199,15000,0.2,45,20,-0.3,0.05199999999999997,0.05,0.6905725288831837,-0.3109636744789162,0.004457997947133316,1.015,0.849,0.6328672015404365,0.94041026957638,0.905,-0.3617486134288264,-0.2523568137115166,0.881,0.0006430022640557744,0.005402201273825559,3.766,0.849,0.633644351732991,0.9397060333761232,0.896,-0.3585303210149783,-0.24895400866521766,0.876,0.0006456770252651478,0.005454421149636563
ARC,1000,199,15000,0.2,45,20,-0.3,0.052999999999999964,0.05,0.6876788413098236,-0.3104702359732552,0.004513850212277391,1.009,0.83,0.6285400503778337,0.9286027078085642,0.91,-0.36153944281326633,-0.25216699807369963,0.861,0.0008145072358410576,0.005483176443971385,3.763,0.822,0.6294358942065492,0.9277010075566751,0.905,-0.358029408163908,-0.2480511396755411,0.865,0.0008141495116568116,0.00552992790100608
ARC,1000,199,15000,0.2,45,20,-0.3,0.053999999999999965,0.05,0.6715030902348579,-0.3116554642776426,0.004733553516386582,1.015,0.789,0.6043775030902347,0.9123006798516687,0.91,-0.3627375066852158,-0.25343566679300134,0.831,0.0010454960551099946,0.005802895203030959,4.288,0.79,0.6049511742892459,0.9119946847960446,0.895,-0.35943765138325456,-0.24935745877915338,0.838,0.0010369144274870509,0.005833486612643782
ARC,1000,199,15000,0.2,45,20,-0.3,0.054999999999999966,0.05,0.6540145631067962,-0.3108329321992388,0.004975731795076772,1.029,0.75,0.5842057645631069,0.8903327669902913,0.908,-0.36186523475186655,-0.25235186152495737,0.79,0.0013327428229229215,0.006080692633002526,4.759,0.746,0.5841271844660195,0.8883564927184466,0.9,-0.3584370108502304,-0.24870726917652752,0.795,0.0013407588438810532,0.006109410193311924
ARC,1000,199,15000,0.2,45,20,-0.3,0.05599999999999996,0.05,0.6375315852205006,-0.3088792004478914,0.0052310833070442955,1.049,0.701,0.5635168653158523,0.8710607866507748,0.917,-0.3598627837276349,-0.25027509292501715,0.751,0.0016105043860540442,0.006409496516554667,5.284,0.69,0.5634675208581645,0.8697986293206197,0.906,-0.3564225404684864,-0.24599540926831698,0.757,0.0015767605121015194,0.006422443763380559
ARC,1000,199,15000,0.2,45,20,-0.3,0.05699999999999996,0.05,0.6340456674473067,-0.3090677347342123,0.005267777528197861,1.05,0.676,0.5568172716627635,0.8607183255269322,0.907,-0.36011930262242015,-0.25031056213833297,0.739,0.0017419745006448243,0.006495838870654134,5.308,0.683,0.5560615925058549,0.8602100117096019,0.89,-0.35674027748694104,-0.24640286155070634,0.74,0.0017349804043435882,0.006519859086946684
ARC,1000,199,15000,0.2,45,20,-0.3,0.05799999999999996,0.05,0.6201104718066744,-0.30828935699917215,0.005434383378034907,1.064,0.635,0.5444993670886077,0.8426592059838894,0.911,-0.3588441008852927,-0.24934716242052685,0.7,0.001971237466962186,0.0066230957028805175,5.702,0.632,0.5439602991944765,0.8421019562715765,0.915,-0.35594063097192463,-0.24472903367335216,0.707,0.0019473626858591351,0.006641824396380625
ARC,1000,199,15000,0.2,45,20,-0.3,0.05899999999999996,0.05,0.6008280542986426,-0.3093112365374581,0.005767685789490855,1.098,0.555,0.5236269796380091,0.8164155542986425,0.925,-0.35982587884198436,-0.2501029163182519,0.634,0.002338659732991986,0.007009648198879455,6.252,0.557,0.5236255090497739,0.815874943438914,0.909,-0.3571239364527178,-0.24608965413151596,0.645,0.0023198476768698482,0.007022082092010788
ARC,1000,199,15000,0.2,45,20,-0.3,0.05999999999999996,0.05,0.5866140155728587,-0.3132662539000898,0.005958971019737869,1.125,0.536,0.5110525583982204,0.8025158509454949,0.895,-0.3638131164317618,-0.25408788171183905,0.625,0.00251616380692944,0.007172204155265326,6.681,0.54,0.511707063403782,0.8022701334816463,0.885,-0.3602974506629696,-0.2519139198157547,0.629,0.002498660858829316,0.007185007470897096
ARC,1000,199,15000,0.2,45,20,-0.3,0.06099999999999996,0.05,0.5833555798687089,-0.30925843046303647,0.005985365053413602,1.13,0.478,0.503706455142232,0.7901635667396062,0.9,-0.3598696307230704,-0.2503690065426643,0.596,0.002691601841914376,0.007264870773900171,6.682,0.486,0.502738238512035,0.7894434901531728,0.891,-0.35696046958858546,-0.24686933125913663,0.592,0.002663397400056523,0.007283538299736499
ARC,1000,199,15000,0.2,45,20,-0.3,0.06199999999999996,0.05,0.5722626480086115,-0.31010297477450016,0.006172123063279323,1.158,0.473,0.49873067814854694,0.7774981700753499,0.918,-0.36039554360364423,-0.2510784512509898,0.579,0.0028626225914527926,0.007378657260089824,6.949,0.462,0.4975290096878364,0.7774775565123789,0.914,-0.3576800069650658,-0.24758960140031128,0.577,0.0028349159019562444,0.007409037253804666
ARC,1000,199,15000,0.2,45,20,-0.3,0.06299999999999996,0.05,0.5529311440677966,-0.3088732582010621,0.006428897579132148,1.22,0.381,0.4783587923728815,0.7499045021186441,0.906,-0.3590731066236437,-0.2491685880384134,0.479,0.0032323828083837013,0.0076611045313990005,7.524,0.379,0.4776434851694916,0.7500898834745763,0.889,-0.3561842009062519,-0.24570665551215717,0.487,0.0032047910350151555,0.007687656701586687
ARC,1000,199,15000,0.2,45,20,-0.3,0.06399999999999995,0.05,0.5350104275286758,-0.30986468879534046,0.006690539344935713,1.287,0.288,0.4604394160583943,0.7220798748696559,0.907,-0.35992202665112893,-0.25016360886456707,0.396,0.0036190370974854675,0.00793541820434021,8.038,0.283,0.45962022940563096,0.7208742961418144,0.895,-0.35768915345023095,-0.24753753890242763,0.411,0.003575380871767497,0.007966722608416627
ARC,1000,199,15000,0.2,45,20,-0.3,0.06499999999999995,0.05,0.5397535934291581,-0.3111306067172906,0.006618570896252251,1.263,0.328,0.465345020533881,0.731997022587269,0.907,-0.3609723237852169,-0.2519425302471327,0.433,0.003475231072003096,0.007863588406388542,7.766,0.319,0.4648079568788502,0.7306302361396304,0.899,-0.35860764388717337,-0.24919125983939844,0.432,0.003453159830031179,0.007887486923507969
ARC,1000,199,15000,0.2,45,20,-0.3,0.06599999999999995,0.05,0.5209615773508595,-0.31163995346408324,0.006943935548601996,1.345,0.219,0.44626769464105165,0.7021470171890799,0.908,-0.36152221559052894,-0.2520499139571119,0.33,0.003908686168865044,0.0082089290107301,8.28,0.217,0.4456729019211325,0.7019608190091001,0.9,-0.3593391363947393,-0.2497545392705443,0.343,0.0038538462113318437,0.008253890557018416
ARC,1000,199,15000,0.2,45,20,-0.3,0.06699999999999995,0.05,0.5100288844621513,-0.3126692186799295,0.007063801899978083,1.424,0.2,0.4399343127490041,0.6883072211155379,0.909,-0.3619998848645281,-0.2525108721753694,0.295,0.004079253331665531,0.008294924785156336,8.573,0.196,0.439642828685259,0.6868074203187251,0.894,-0.35993034492809134,-0.2506948069270693,0.306,0.004054093009853992,0.008324128534036452
ARC,1000,199,15000,0.2,45,20,-0.3,0.06799999999999995,0.05,0.49061825318940133,-0.31106546441418165,0.0073587356768409435,1.542,0.134,0.4175058881256134,0.6566756624141314,0.896,-0.36003676901824705,-0.25035879636122454,0.229,0.004492918803231572,0.008662014851882002,9.15,0.136,0.41788812561334654,0.6565118253189401,0.902,-0.3586955925407288,-0.24844278468749462,0.237,0.004474569965580845,0.008687477690814944
ARC,1000,199,15000,0.2,45,20,-0.3,0.06899999999999995,0.05,0.49873307543520307,-0.31091752283823976,0.007230617841691503,1.487,0.141,0.42749985493230186,0.6731333655705997,0.913,-0.36008914183683094,-0.25052508870874873,0.242,0.004276717695084368,0.008497195747740112,8.744,0.147,0.4273529013539653,0.6727940522243714,0.916,-0.3587618798976613,-0.24872965197828614,0.254,0.004250981711573795,0.008523831745041975
ARC,1000,199,15000,0.2,45,20,-0.3,0.06999999999999995,0.05,0.48395042897998086,-0.3104531060916681,0.007422364461427761,1.591,0.113,0.41244313632030516,0.6518688751191611,0.897,-0.3593024108069759,-0.25023402527343,0.2,0.004550768088998565,0.008708425027859056,9.157,0.111,0.4129326501429934,0.651775166825548,0.891,-0.3578441459179573,-0.24862851063683217,0.211,0.004533536111287843,0.00872170762026299
ARC,1000,199,15000,0.2,45,20,-0.3,0.07099999999999995,0.05,0.4698449248120301,-0.3104341949603637,0.007649389035251128,1.7,0.067,0.3994841635338347,0.6295796992481203,0.917,-0.35916538759487104,-0.24991124180030355,0.149,0.004846866849190541,0.008963632390289994,9.546,0.061,0.400567105263158,0.6286857142857143,0.917,-0.35803969175765593,-0.24926329043400727,0.153,0.004828101518142081,0.008961073268498439
ARC,1000,199,15000,0.2,45,20,-0.3,0.07199999999999994,0.05,0.46100834105653377,-0.3107069691554992,0.007781755425692431,1.757,0.055,0.3961991658943467,0.6212056533827618,0.91,-0.35912655631467644,-0.24888525674586368,0.118,0.0049519849719156595,0.009034937754991767,9.734,0.045,0.39627873030583877,0.6195325301204819,0.9,-0.3581195409486381,-0.24873934901921116,0.119,0.004933153199619955,0.009051993799345003
ARC,1000,199,15000,0.2,45,20,-0.3,0.07299999999999994,0.05,0.4604954296160878,-0.310411867355871,0.007754008187078306,1.757,0.054,0.39164670932358325,0.6158952925045703,0.886,-0.35904134220979095,-0.2492723494845988,0.122,0.005007966359462308,0.009050273143332049,9.614,0.052,0.39285886654478985,0.6157275594149909,0.887,-0.3579793741104569,-0.24885739461854,0.125,0.00497256150587387,0.009052973015964727
ARC,1000,199,15000,0.2,45,20,-0.3,0.07399999999999994,0.05,0.45047249774571685,-0.31104063864019116,0.0079286751869606,1.83,0.037,0.384252073940487,0.6051825067628495,0.913,-0.35935194423398786,-0.2489004569286507,0.096,0.005159764280866066,0.0092151768706589,9.865,0.035,0.38553444544634813,0.6049447249774571,0.903,-0.3585072486771626,-0.2481773800224307,0.097,0.005145182643793309,0.009212897515845206
ARC,1000,199,15000,0.2,45,20,-0.3,0.07499999999999994,0.05,0.43988523131672597,-0.3107100972269646,0.008079867754882303,1.911,0.029,0.3751995996441282,0.5910974199288257,0.887,-0.35894363039322436,-0.24894168634544178,0.081,0.005345974961588245,0.009381232806933416,10.154,0.027,0.3763481316725979,0.5916435498220639,0.894,-0.35828791002758126,-0.248676341936085,0.083,0.005317840022122872,0.009381940206980122
ARC,1000,199,15000,0.2,45,20,-0.3,0.07599999999999994,0.05,0.42734240561896397,-0.30871618197397366,0.008242595839199647,1.96,0.015,0.3624763827919228,0.5702409569798068,0.912,-0.3566263435510669,-0.24656334052078122,0.057,0.0055800569835876175,0.009570368771694312,10.495,0.017,0.3625208955223882,0.5704461369622476,0.907,-0.3563769850878331,-0.245687816356064,0.049,0.005576539778185749,0.009565380832044227
ARC,1000,199,15000,0.2,45,20,-0.3,0.07699999999999994,0.05,0.4165675909878682,-0.31139578539263796,0.008422689543363593,2.016,0.004,0.3526952772963605,0.557287348353553,0.903,-0.3588479419971117,-0.24944962566680565,0.028,0.005780719109998912,0.009762869442822343,10.764,0.004,0.3533419844020798,0.5576871317157713,0.89,-0.3587848168350523,-0.2500180512819807,0.031,0.0057680643752644565,0.009749694125880098
ARC,1000,199,15000,0.2,45,20,-0.3,0.07799999999999994,0.05,0.41992899914456805,-0.31189531711081975,0.008419882441185302,2.015,0.008,0.35484054747647564,0.5605600085543199,0.874,-0.35960133130249644,-0.2503839438051685,0.038,0.005757332446536139,0.00975963667231952,10.508,0.007,0.3554729683490163,0.5613973909324209,0.883,-0.3595276563332099,-0.25014152976104287,0.041,0.005735944103790192,0.009757917776571711
ARC,1000,199,15000,0.2,45,20,-0.3,0.07899999999999993,0.05,0.4089619932432432,-0.31041448796379395,0.008556114291146721,2.053,0.004,0.3461707347972973,0.5438381756756757,0.883,-0.3580016031379917,-0.24844667105013254,0.019,0.0059383546523920664,0.009907845797423508,10.754,0.002,0.3466310388513514,0.5452647381756757,0.89,-0.3579824527833972,-0.24826689449325232,0.021,0.0059309774177601,0.009895056073419794
ARC,1000,199,15000,0.2,45,20,-0.3,0.07999999999999993,0.05,0.3991451209341118,-0.3103209715052227,0.008616087198920012,2.091,0.001,0.33657214345287745,0.5312329858215179,0.902,-0.3573840854874624,-0.247018858229373,0.016,0.00606225517216834,0.009961157182969643,11.015,0.002,0.33781843202668893,0.5317081317764804,0.9,-0.3578776991048336,-0.2475057973368156,0.015,0.006049095815852702,0.009962242722488452
ARC,1000,199,15000,0.2,45,20,-0.3,0.08099999999999993,0.05,0.3911490939044481,-0.3103842579063209,0.00877489589933783,2.115,0.0,0.3308649917627678,0.5230165568369027,0.892,-0.35785371321525683,-0.24814100031606381,0.004,0.006188717284432691,0.01011640352433228,11.189,0.0,0.3319025123558485,0.5233081136738056,0.887,-0.3577614947796722,-0.24835184864787954,0.006,0.006189323911084584,0.010107735816914858
ARC,1000,199,15000,0.2,45,20,-0.3,0.08199999999999993,0.05,0.3918763222131814,-0.30912192756491197,0.008750555592601768,2.103,0.004,0.3303635069161921,0.5214573230268511,0.899,-0.35649336851572466,-0.24674894050090215,0.016,0.006207327237540178,0.010102365373395811,11.052,0.003,0.3309969080553296,0.5216805126118795,0.896,-0.35638783039034366,-0.24628758563572847,0.013,0.006218267586152223,0.010086221585501202
ARC,1000,199,15000,0.2,45,20,-0.3,0.08299999999999993,0.05,0.38385128617363345,-0.3108835041389758,0.008876659787488276,2.147,0.001,0.3238038585209003,0.5111474276527331,0.903,-0.3585778135104383,-0.24875679346962837,0.008,0.006340018549459102,0.010241213494690971,11.22,0.0,0.3241089630225081,0.5115728697749196,0.901,-0.358874660337682,-0.2488151267943623,0.006,0.006328309485214321,0.010238751933437555
ARC,1000,199,15000,0.2,45,20,-0.3,0.08399999999999994,0.05,0.3725472597299444,-0.3107389367801251,0.009050865606583667,2.215,0.0,0.31040452740270064,0.49472851469420176,0.883,-0.3585806304854273,-0.24792009911739135,0.006,0.006563570181267181,0.010451580107924267,11.544,0.0,0.31084352660841946,0.49526914217633045,0.889,-0.358376675709873,-0.24786159099215416,0.007,0.0065682137244844774,0.010447167089646582
ARC,1000,199,15000,0.2,45,20,-0.3,0.08499999999999994,0.05,0.3659882260596546,-0.31074908186040695,0.00914469329387178,2.23,0.0,0.3070011773940346,0.48652244897959185,0.89,-0.3582287415249272,-0.24888247425829002,0.002,0.00666828049394721,0.010525627878617442,11.643,0.0,0.30800133437990584,0.4871922684458399,0.884,-0.3581593899061639,-0.24897573205580448,0.001,0.006654778613161955,0.010533490737121733
ARC,1000,199,15000,0.2,45,20,-0.3,0.08599999999999992,0.05,0.358022498060512,-0.3112917430379392,0.009275831293129371,2.289,0.0,0.30038564778898375,0.47766695112490304,0.905,-0.3590474320048894,-0.2482547063561896,0.0,0.006786946196422772,0.010661277846976269,11.831,0.0,0.30088708301008543,0.4778035686578743,0.906,-0.35876046644073084,-0.24849867534954737,0.0,0.006791186558817676,0.010656055359962228
ARC,1000,199,15000,0.2,45,20,-0.3,0.08699999999999992,0.05,0.36095705521472393,-0.30886297079489156,0.0092150015335042,2.257,0.0,0.30394992331288345,0.4789780674846626,0.905,-0.35683608109606807,-0.24606787282463924,0.0,0.006764972699674428,0.010598348931858171,11.566,0.0,0.3050506518404909,0.4793496549079755,0.893,-0.3564670114967399,-0.24598363184638236,0.003,0.006751972567356894,0.010596398974984995
ARC,1000,199,15000,0.2,45,20,-0.3,0.08799999999999993,0.05,0.35247687642153147,-0.3109532638825265,0.009357174302885202,2.32,0.0,0.29621743745261564,0.46756569370735407,0.896,-0.358357802125763,-0.24915491228497108,0.0,0.006932417381367096,0.01074633057634199,11.797,0.0,0.2970171341925702,0.4677559514783927,0.91,-0.35856461686577606,-0.24884678355765932,0.0,0.006910812177404065,0.01074869376766522
ARC,1000,199,15000,0.2,45,20,-0.3,0.08899999999999993,0.05,0.3455232383808096,-0.3100241631861265,0.009414817721185574,2.378,0.0,0.290586131934033,0.459985419790105,0.911,-0.3578606341095349,-0.24758328303431035,0.0,0.0069807645978349694,0.010810394535153858,11.926,0.0,0.29136251874062974,0.46039846326836587,0.907,-0.3576455461040271,-0.24763064360675652,0.001,0.006969777932201518,0.010799686029262078
ARC,1000,199,15000,0.2,45,20,-0.3,0.08999999999999993,0.05,0.33658858413639736,-0.31156908507881403,0.00959294377915732,2.463,0.0,0.2810234247590809,0.44538232023721275,0.903,-0.35919970433391324,-0.24932260976680337,0.0,0.007193705732779208,0.01101405465344723,12.169,0.0,0.28163598962194225,0.44543954781319495,0.896,-0.35905623616882076,-0.2483729740278885,0.001,0.0071984981886776935,0.011027551871145829
ARC,1000,199,15000,0.2,45,20,-0.3,0.09099999999999993,0.05,0.33087463343108503,-0.3099454493789697,0.00965659750062139,2.538,0.0,0.2773263196480939,0.4395929252199413,0.911,-0.3575992986435249,-0.24762627241258311,0.0,0.007282478512145311,0.011073654396358218,12.248,0.0,0.2777387463343109,0.43897727272727277,0.926,-0.3573086442254534,-0.24785807993339337,0.0,0.007266771747646643,0.011067201471511455
ARC,1000,199,15000,0.2,45,20,-0.3,0.09199999999999993,0.05,0.33346410442349533,-0.3100723346526658,0.009608616864972639,2.519,0.0,0.2802597534445251,0.4417808556925308,0.91,-0.35764083135702707,-0.24752203930187844,0.0,0.0072210127936476205,0.011033098466722775,12.033,0.0,0.2807788977519942,0.4424562001450327,0.912,-0.3576376460394418,-0.24747934493122398,0.0,0.007209322075174254,0.011017881638890652
ARC,1000,199,15000,0.2,45,20,-0.3,0.09299999999999993,0.05,0.3259605451936873,-0.31082287734508196,0.009701972346820345,2.606,0.0,0.27205172166427555,0.4310841463414634,0.895,-0.3586942502751457,-0.24887094840584792,0.0,0.007342209608613079,0.011122457874145225,12.205,0.0,0.2727525824964133,0.4318960903873744,0.897,-0.35850691726817163,-0.24893195829287118,0.0,0.007329387144747353,0.011111548969203746
ARC,1000,199,15000,0.2,45,20,-0.3,0.09399999999999993,0.05,0.3188090844570618,-0.30973623699222524,0.00978894863689009,2.706,0.0,0.2660247338537971,0.42180887154009933,0.904,-0.3571108274672988,-0.24719678915745763,0.0,0.007439527252493908,0.011232932566995564,12.354,0.0,0.26659819020581976,0.42286334279630944,0.91,-0.3572281224512218,-0.24720659029919553,0.0,0.007426832908040746,0.011235774074605562
