distribution,MC,B,n,z,x_F,mu,gamma,frac_theta,frac_gamma,theta_hat,gamma_hat,s_hat,mean_rt,coverage_theta_t,mean_cl_theta_t,mean_cu_theta_t,coverage_gamma_t,mean_cl_gamma_t,mean_cu_gamma_t,coverage_s_t,mean_cl_s_t,mean_cu_s_t,mean_dL,coverage_theta_d,mean_cl_theta_d,mean_cu_theta_d,coverage_gamma_d,mean_cl_gamma_d,mean_cu_gamma_d,coverage_s_d,mean_cl_s_d,mean_cu_s_d
ARC,1000,199,5000,0.2,45,20,-0.3,0.021999999999999992,0.05,0.7708256880733946,-0.3245447466902923,0.0034062262384062015,1.0,0.741,0.6860261467889909,0.830295871559633,0.929,-0.4193966443443504,-0.20631530799958256,0.833,0.0021762728416437104,0.004874541790141562,2.0,0.853,0.6938137614678899,0.847958256880734,0.909,-0.4088522300073377,-0.1998061574862189,0.949,0.0013291941428335567,0.004919927404167279
ARC,1000,199,5000,0.2,45,20,-0.3,0.02299999999999999,0.05,0.7733245614035088,-0.32423999926636904,0.003318537359000251,1.0,0.77,0.6929328947368422,0.8337565789473684,0.92,-0.41709169950310254,-0.20576912216128876,0.833,0.00209997479104719,0.004703960734950141,2.0,0.862,0.6999039473684211,0.849775,0.904,-0.4083863080720804,-0.199831553898528,0.921,0.0012785549516228162,0.004767260818887872
ARC,1000,199,5000,0.2,45,20,-0.3,0.023999999999999987,0.05,0.769420168067227,-0.32639911002721156,0.003421135453721577,1.0,0.743,0.6905668067226891,0.830860924369748,0.933,-0.4202258357316157,-0.2079415575636906,0.816,0.002160563703047043,0.004818015008915058,2.0,0.849,0.6978668067226891,0.8463798319327732,0.923,-0.4108386304344713,-0.20136538849165192,0.934,0.0013589435690145233,0.004879969093430098
ARC,1000,199,5000,0.2,45,20,-0.3,0.024999999999999988,0.05,0.769266129032258,-0.326474340183644,0.003398285605815802,1.0,0.708,0.6924233870967743,0.825454435483871,0.929,-0.4209604477327058,-0.20993536780658092,0.815,0.0022037588859094254,0.004771307302695949,2.0,0.83,0.6983173387096774,0.8413415322580645,0.916,-0.41188590711147083,-0.20547232267031604,0.924,0.001389415105093836,0.004848030326224005
ARC,1000,199,5000,0.2,45,20,-0.3,0.02599999999999999,0.05,0.7716046511627905,-0.32556766342861865,0.003342815269837216,1.0,0.746,0.6970864341085271,0.8292395348837208,0.931,-0.4195368704273436,-0.20903510922432916,0.817,0.002155668972082088,0.004662348416122133,2.0,0.842,0.7031240310077519,0.8439236434108526,0.915,-0.41014648061442016,-0.20354055763463746,0.921,0.0013486468977434462,0.0047527804014430635
ARC,1000,199,5000,0.2,45,20,-0.3,0.02699999999999999,0.05,0.7695074626865671,-0.3240638363878155,0.003378701848294246,1.0,0.747,0.6965432835820895,0.8290940298507462,0.936,-0.41829957148131314,-0.2070078920370176,0.822,0.00216954614832113,0.004686563494697083,2.0,0.855,0.7026402985074627,0.8433264925373135,0.923,-0.40957300378397404,-0.20027725585033776,0.935,0.001376634007290766,0.004776237942599372
ARC,1000,199,5000,0.2,45,20,-0.3,0.027999999999999983,0.05,0.7682877697841727,-0.32366133657168494,0.0033710737786990697,1.0,0.713,0.6960187050359713,0.829936690647482,0.934,-0.4187539301910972,-0.20627333530934147,0.809,0.002126288832847317,0.004662712622246422,2.0,0.819,0.7020291366906475,0.843421582733813,0.911,-0.4094429678355652,-0.20065443599725416,0.924,0.0013448118305340673,0.004763232704551197
ARC,1000,199,5000,0.2,45,20,-0.3,0.028999999999999984,0.05,0.7680555555555554,-0.32632384020662425,0.0033944187912380353,1.0,0.722,0.6975649305555557,0.830153125,0.935,-0.42023028007857743,-0.21056212349876158,0.803,0.0021472745242386653,0.004672627160552325,2.0,0.832,0.7033364583333335,0.8427708333333334,0.921,-0.4127847528645505,-0.2042795276980914,0.933,0.001387352080925894,0.004788445180484813
ARC,1000,199,5000,0.2,45,20,-0.3,0.029999999999999985,0.05,0.7657583892617449,-0.3260219509923314,0.0034374851883560054,1.0,0.692,0.6960432885906042,0.8230157718120806,0.919,-0.4210570615143436,-0.2097743632678028,0.817,0.002235444785484922,0.004714230782181561,2.0,0.819,0.7014855704697986,0.8366637583892618,0.914,-0.4138410307036529,-0.20279289779496465,0.932,0.0014255052994515622,0.004842924867083908
ARC,1000,199,5000,0.2,45,20,-0.3,0.030999999999999986,0.05,0.7645,-0.32504084054745785,0.003467906922832336,1.0,0.689,0.6956474025974027,0.8248555194805194,0.931,-0.4198622600344768,-0.2095570169698692,0.808,0.002212993107435092,0.004742587164221044,2.0,0.806,0.7011866883116884,0.8374025974025974,0.92,-0.4129515467118224,-0.20379899837016355,0.94,0.0014339175344610772,0.004870081995407677
